#ϣⲁⲉⲛⲉϩ	ADV	ϣⲁⲉⲛⲉϩ
#ϯⲧⲟⲟⲧ	V	ϯⲧⲟⲟⲧ
#ϯⲧⲟⲟⲧⲟⲩ	V	ϯⲧⲟⲟⲧ
#ⲕⲁⲁⲧ	VSTAT	ⲕⲁⲁⲧ
#ⲕⲉⲟⲩⲁ	N	ⲕⲉⲟⲩⲁ
#ⲙⲁⲙⲡⲱⲧ	N	ⲙⲁⲙⲡⲱⲧ
#ⲙⲁⲛϣⲉⲗⲉⲉⲧ	N	ⲙⲁⲛϣⲉⲗⲉⲉⲧ
#ⲙⲁⲛϣⲓⲛⲉ	N	ⲙⲁⲛϣⲓⲛⲉ
#ⲙⲁⲛϣⲱⲡⲉ	N	ⲙⲁⲛϣⲱⲡⲉ
#ⲙⲁⲛϩⲁⲣⲉϩ	N	ⲙⲁⲛϩⲁⲣⲉϩ
#ⲙⲁⲛϩⲱⲧⲡ	N	ⲙⲁⲛϩⲱⲧⲡ
#ⲙⲁⲛϫⲁⲓⲉ	N	ⲙⲁⲛϫⲁⲓⲉ
#ⲙⲁⲛⲉⲗⲟⲟⲗⲉ	N	ⲙⲁⲛⲉⲗⲟⲟⲗⲉ
#ⲙⲁⲛⲕⲟⲧⲕ	N	ⲙⲁⲛⲕⲟⲧⲕ
#ⲙⲁⲛⲙⲧⲟⲛ	N	ⲙⲁⲛⲙⲧⲟⲛ
#ⲙⲁⲛⲛⲁ	N	ⲙⲁⲛⲛⲁ
#ⲙⲁⲛⲛⲉⲓⲇⲱⲗⲟⲛ	N	ⲙⲁⲛⲛⲉⲓⲇⲱⲗⲟⲛ
#ⲙⲁⲛⲟⲩⲱϩ	N	ⲙⲁⲛⲟⲩⲱϩ
#ⲙⲁⲛⲟⲩⲱⲙ	N	ⲙⲁⲛⲟⲩⲱⲙ
#ⲣϩⲛⲁ	V	ⲣϩⲛⲁ
#ⲣϩⲛⲏ	V	ⲣϩⲛⲏ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ϣⲁϫⲉ	V	ϣⲁϫⲉ
ϣⲁⲁ	PREP	ϣⲁ
ϣⲁⲁϥ	N	ϣⲁⲁϥ
ϣⲁⲁⲃ	N	ϣⲁⲁⲃ
ϣⲁⲁⲛⲧ	N	ϣⲁ
ϣⲁⲁⲣ	N	ϣⲁⲁⲣ
ϣⲁⲁⲣⲉ	N	ϣⲁⲁⲣⲉ
ϣⲁⲁⲣⲉ	V	ϣⲁⲁⲣⲉ
ϣⲁⲁⲧ	V	ϣⲓⲧⲉ
ϣⲁⲁⲧ	VSTAT	ϣⲓⲧⲉ
ϣⲁⲁⲧⲉ	N	ϣⲁⲁⲧⲉ
ϣⲁⲃⲟⲗ	ADV	ϣⲁⲃⲟⲗ
ϣⲁⲉϩⲣⲁⲓ	ADV	ϣⲁⲉϩⲣⲁⲓ
ϣⲁⲉⲃⲟⲗ	N	ϣⲁⲃⲟⲗ
ϣⲁⲉⲓ	N	ϣⲁⲉⲓ
ϣⲁⲉⲓⲥ	N	ⲥⲟⲉⲓϣ
ϣⲁⲓ	N	ϣⲁⲓ
ϣⲁⲓⲣⲉ	N	ϣⲁⲓⲣⲉ
ϣⲁⲕⲧ	V	ϣⲁⲕⲧ
ϣⲁⲗ	N	ϣⲁⲗ
ϣⲁⲗⲁϣⲓⲗ	N	ϣⲁⲗⲁϣⲓⲗ
ϣⲁⲗⲁⲛⲟⲥ	N	ϣⲁⲗⲁⲛⲟⲥ
ϣⲁⲗⲓⲟⲩ	N	ϣⲁⲗⲓⲟⲩ
ϣⲁⲗⲛⲃⲏⲧ	N	ϣⲁⲗⲛⲃⲏⲧ
ϣⲁⲗⲟⲟⲩ	N	ϣⲁⲗⲟⲟⲩ
ϣⲁⲙⲓⲥⲉ	N	ϣⲁⲙⲓⲥⲉ
ϣⲁⲛⲧ	ALIM	ϣⲁⲛⲧⲉ
ϣⲁⲛⲧ	N	ϣⲁⲛⲧ
ϣⲁⲛⲧⲉ	ALIM	ϣⲁⲛⲧⲉ
ϣⲁⲟⲗ	N	ϣⲁⲟⲗ
ϣⲁⲡⲉⲓⲙⲁ	ADV	ϣⲁⲡⲉⲓⲙⲁ
ϣⲁⲣ	AAOR_PPERS	ϣⲁⲣⲉ_ⲛⲧⲟ
ϣⲁⲣⲁϩⲉ	N	ϣⲁⲣⲁϩⲉ
ϣⲁⲣⲃⲁ	N	ϣⲁⲣⲃⲁ
ϣⲁⲣⲉ	AAOR	ϣⲁⲣⲉ
ϣⲁⲣⲉ	V	ϣⲁⲁⲣⲉ
ϣⲁⲣⲕⲉ	N	ϣⲁⲣⲕⲉ
ϣⲁⲣⲟ	PREP	ϣⲁ
ϣⲁⲣⲡ	N	ϣⲁⲣⲡ
ϣⲁⲣⲱ	PREP	ϣⲁ
ϣⲁⲣⲱ	V	ϣⲁⲁⲣⲉ
ϣⲁⲥⲱⲛⲧ	N	ϣⲁⲥⲱⲛⲧ
ϣⲁⲧ	V	ϣⲓⲧⲉ
ϣⲁⲧⲁϥ	N	ϣⲁⲧⲁϥ
ϣⲁⲧⲓⲗⲁ	N	ϣⲁⲧⲓⲗⲁ
ϣⲁⲧⲛ	PREP	ϣⲁⲧⲛ
ϣⲁⲧⲛⲁⲩ	ADV	ϣⲁⲧⲛⲁⲩ
ϣⲁⲧⲟⲟⲛⲧϥ	N	ϣⲁⲧⲟⲟⲛⲧϥ
ϣⲁⲧⲟⲩ	V	ϣⲁⲧⲟⲩ
ϣⲁⲩ	N	ϣⲁⲩ
ϣⲃ	V	ϣⲃ
ϣⲃ	V	ϣⲱⲃ
ϣⲃv	V	ϣⲃv
ϣⲃϣⲓ	N	ϣⲃϣⲓ
ϣⲃⲃ	V	ϣⲓⲃⲉ
ϣⲃⲃⲓⲱ	N	ϣⲃⲃⲓⲱ
ϣⲃⲉ	N	ϣⲃⲉ
ϣⲃⲉⲉⲣ	N	ϣⲃⲏⲣ
ϣⲃⲉⲓⲱ	N	ϣⲃⲉⲓⲱ
ϣⲃⲉⲓⲱ	N	ϣⲃⲉⲓⲱ
ϣⲃⲏⲣ	N	ϣⲃⲏⲣ
ϣⲃⲏⲣⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ	N	ϣⲃⲏⲣⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ
ϣⲃⲏⲣⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ	N	ϣⲃⲏⲣⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ
ϣⲃⲏⲣⲥⲁⲁⲛϣ	N	ϣⲃⲏⲣⲥⲁⲁⲛϣ
ϣⲃⲓⲛ	N	ϣⲃⲓⲛ
ϣⲃⲓⲱ	N	ϣⲃⲉⲓⲱ
ϣⲃⲛⲛⲉ	N	ϣⲃⲛⲛⲉ
ϣⲃⲟⲧ	N	ϣⲃⲱⲧ
ϣⲃⲣ	N	ϣⲃⲣ
ϣⲃⲣϩⲙϩⲁⲗ	N	ϣⲃⲣϩⲙϩⲁⲗ
ϣⲃⲣⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ	N	ϣⲃⲣⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ
ϣⲃⲣⲗⲓⲧⲟⲩⲣⲅⲟⲥ	N	ϣⲃⲣⲗⲓⲧⲟⲩⲣⲅⲟⲥ
ϣⲃⲣⲙⲁⲧⲟⲓ	N	ϣⲃⲣⲙⲁⲧⲟⲓ
ϣⲃⲣⲙⲉⲗⲟⲥ	N	ϣⲃⲣⲙⲉⲗⲟⲥ
ϣⲃⲣⲣϩⲱⲃ	N	ϣⲃⲣⲣϩⲱⲃ
ϣⲃⲣⲧⲉⲭⲛⲓⲧⲏⲥ	N	ϣⲃⲣⲧⲉⲭⲛⲓⲧⲏⲥ
ϣⲃⲧ	V	ϣⲓⲃⲉ
ϣⲃⲧⲥ	N	ϣⲃⲧⲥ
ϣⲃⲱ	N	ϣⲃⲱ
ϣⲃⲱⲛ	N	ϣⲃⲱⲛ
ϣⲃⲱⲧ	N	ϣⲃⲱⲧ
ϣⲉ	N	ϣⲉ
ϣⲉ	NUM	ϣⲉ
ϣⲉ	V	ϣⲉ
ϣⲉϣⲟⲧⲉ	N	ϣⲉϣⲟⲧⲉ
ϣⲉϣⲧ	N	ϣⲉϣⲧ
ϣⲉϥ	V	ϣⲱϥ
ϣⲉϥⲓⲱ	N	ϣⲃⲉⲓⲱ
ϣⲉϩⲃⲉⲥ	N	ϣⲉϩⲃⲉⲥ
ϣⲉϩⲙⲉ	NUM	ϣⲉϩⲙⲉ
ϣⲉⲉⲓ	V	ϣⲉⲉⲓ
ϣⲉⲉⲣⲉ	N	ϣⲉⲉⲣⲉ
ϣⲉⲉⲩ	N	ϣⲉⲉⲩ
ϣⲉⲗⲃⲉ	N	ϣⲉⲗⲃⲉ
ϣⲉⲗⲉⲉⲧ	N	ϣⲉⲗⲉⲉⲧ
ϣⲉⲙϣⲉ	V	ϣⲉⲙϣⲉ
ϣⲉⲙⲁⲃⲧⲁⲥⲉⲛϣⲉ	N	ϣⲉⲙⲁⲃⲧⲁⲥⲉⲛϣⲉ
ϣⲉⲙⲛⲧϣⲉ	N	ϣⲉⲙⲛⲧϣⲉ
ϣⲉⲛϥⲉ	N	ϣⲉⲛϥⲉ
ϣⲉⲛⲉ	V	ϣⲱⲱⲛⲉ
ϣⲉⲛⲉϩⲧⲏ	V	ϣⲉⲛⲉϩⲧⲏ
ϣⲉⲛⲉⲗⲟⲟⲗⲉ	N	ϣⲉⲛⲉⲗⲟⲟⲗⲉ
ϣⲉⲛⲏⲧ	N	ϣⲉⲛⲏⲧ
ϣⲉⲛⲟⲩⲁ	N	ϣⲉⲛⲟⲩⲁ
ϣⲉⲛⲟⲩⲧⲉ	NPROP	ϣⲉⲛⲟⲩⲧⲉ
ϣⲉⲡ	V	ϣⲱⲡ
ϣⲉⲡϣⲡ	V	ϣⲟⲡϣⲡ
ϣⲉⲡϣⲱⲡ	V	ϣⲉⲡϣⲱⲡ
ϣⲉⲡϩⲓⲥⲉ	V	ϣⲉⲡϩⲓⲥⲉ
ϣⲉⲡϩⲙⲟⲧ	V	ϣⲉⲡϩⲙⲟⲧ
ϣⲉⲡⲟⲩϫⲁⲓ	PREP	ϣⲉⲡⲟⲩϫⲁⲓ
ϣⲉⲡⲧⲟⲟⲧ	N	ϣⲉⲡⲧⲟⲟⲧ
ϣⲉⲡⲧⲟⲟⲧ	V	ϣⲉⲡⲧⲟⲟⲧ
ϣⲉⲡⲧⲱⲣⲉ	N	ϣⲉⲡⲧⲱⲣⲉ
ϣⲉⲡⲧⲱⲣⲉ	V	ϣⲉⲡⲧⲱⲣⲉ
ϣⲉⲡⲧⲱⲣⲉ	V	ϣⲉⲡⲧⲱⲣⲉ
ϣⲉⲣϣⲱⲣ	V	ϣⲟⲣϣⲣ
ϣⲉⲣϩⲟⲟⲩⲧ	N	ϣⲉⲣϩⲟⲟⲩⲧ
ϣⲉⲥ	V	ⲥⲱϣ
ϣⲉⲧϣⲱⲧ	VSTAT	ϣⲟⲧϣⲧ
ϣⲉⲧⲁⲓⲟⲩ	N	ϣⲉⲧⲁⲓⲟⲩ
ϣⲉⲧⲙⲛⲧⲛⲁ	V	ϣⲉⲧⲙⲛⲧⲛⲁ
ϣⲏ	N	ϣⲏ
ϣⲏϣ	VSTAT	ϣⲱϣ
ϣⲏϥ	VSTAT	ϣⲱϥ
ϣⲏⲃⲉ	N	ϣⲏⲃⲉ
ϣⲏⲓ	N	ϣⲏⲓ
ϣⲏⲕ	VSTAT	ϣⲓⲕⲉ
ϣⲏⲙ	N	ϣⲏⲙ
ϣⲏⲛ	N	ϣⲏⲛ
ϣⲏⲛⲉ	N	ϣⲏⲛⲉ
ϣⲏⲡ	VSTAT	ϣⲱⲡ
ϣⲏⲣⲉ	N	ϣⲏⲣⲉ
ϣⲏⲣⲉ	NPROP	ϣⲏⲣⲉ
ϣⲏⲣⲉϣⲏⲙ	N	ϣⲏⲣⲉϣⲏⲙ
ϣⲏⲣⲉⲕⲟⲩⲓ	N	ϣⲏⲣⲉⲕⲟⲩⲓ
ϣⲏⲣⲡⲥϩⲁⲓ	V	ϣⲏⲣⲡⲥϩⲁⲓ
ϣⲏⲧ	N	ϣⲏⲧ
ϣⲏⲧ	NUM	ϣⲏⲧ
ϣⲏⲧⲉ	N	ϣⲏⲧⲉ
ϣⲏⲧⲥ	N	ϣⲏⲧⲥ
ϣⲏⲩⲉ	N	ϣⲏⲩⲉ
ϣⲓ	N	ϣⲓ
ϣⲓϥⲉ	N	ϣⲓϥⲉ
ϣⲓϥⲧⲉ	N	ϣⲓⲃⲧⲉ
ϣⲓϥⲧⲉ	V	ϣⲓⲃⲧⲉ
ϣⲓⲁⲓ	N	ϣⲓⲁⲓ
ϣⲓⲁⲓ	V	ϣⲓⲁⲓ
ϣⲓⲃⲉ	N	ϣⲓⲃⲉ
ϣⲓⲃⲉ	V	ϣⲓⲃⲉ
ϣⲓⲃⲧⲉ	N	ϣⲓⲃⲧⲉ
ϣⲓⲃⲧⲉ	V	ϣⲓⲃⲧⲉ
ϣⲓⲉⲓⲱϩⲉ	V	ϣⲓⲉⲓⲱϩⲉ
ϣⲓⲏ	N	ϣⲓⲏ
ϣⲓⲏⲥ	N	ϣⲓⲏⲥ
ϣⲓⲏⲧ	NPROP	ϣⲓⲏⲧ
ϣⲓⲕϩ	N	ϣⲓⲕϩ
ϣⲓⲕⲉ	V	ϣⲓⲕⲉ
ϣⲓⲙⲉ	N	ϣⲓⲙⲉ
ϣⲓⲛⲁ	CONJ	ϩⲓⲛⲁ
ϣⲓⲛⲉ	N	ϣⲓⲛⲉ
ϣⲓⲛⲉ	V	ϣⲓⲛⲉ
ϣⲓⲛⲉⲛⲥⲁ	V	ϣⲓⲛⲉⲛⲥⲁ
ϣⲓⲡⲁ	N	ϣⲓⲡⲁ
ϣⲓⲡⲉ	N	ϣⲓⲡⲉ
ϣⲓⲡⲉ	V	ϣⲓⲡⲉ
ϣⲓⲣⲉ	N	ϣⲓⲣⲉ
ϣⲓⲧ	V	ϣⲓ
ϣⲓⲧⲉ	V	ϣⲓⲧⲉ
ϣⲓⲧⲉϥ	N	ϣⲓⲧⲉϥ
ϣⲕⲁⲕ	N	ϣⲕⲁⲕ
ϣⲕⲉⲗⲕⲉⲗ	V	ϣⲕⲉⲗⲕⲉⲗ
ϣⲕⲉⲗⲕⲓⲗ	N	ϣⲕⲉⲗⲕⲓⲗ
ϣⲕⲓⲗ	N	ϣⲕⲓⲗ
ϣⲕⲗⲕⲉⲗ	N	ϣⲕⲗⲕⲉⲗ
ϣⲕⲗⲕⲓⲗ	N	ϣⲕⲉⲗⲕⲓⲗ
ϣⲕⲟⲗ	N	ϣⲕⲟⲗ
ϣⲗϣⲓⲗ	N	ϣⲗϣⲓⲗ
ϣⲗϣⲟⲗ	N	ϣⲗϣⲟⲗ
ϣⲗϩϥ	N	ϣⲗϩϥ
ϣⲗϩⲗ	N	ϣⲗϩⲗ
ϣⲗϭⲟⲙ	N	ϣⲗϭⲟⲙ
ϣⲗⲁϩ	V	ϣⲗⲁϩ
ϣⲗⲁⲉⲓⲛ	N	ϣⲗⲁⲉⲓⲛ
ϣⲗⲁⲕ	N	ϣⲗⲁⲕ
ϣⲗⲉϩ	N	ϣⲗⲉϩ
ϣⲗⲉϩ	V	ϣⲗⲉϩ
ϣⲗⲏⲗ	N	ϣⲗⲏⲗ
ϣⲗⲏⲗ	V	ϣⲗⲏⲗ
ϣⲗⲓϭ	N	ϣⲗⲓϭ
ϣⲗⲕⲏⲧ	N	ϣⲗⲕⲏⲧ
ϣⲗⲗ	V	ϣⲗⲗ
ϣⲗⲟϥ	N	ϣⲗⲟϥ
ϣⲗⲟⲡ	N	ϣⲗⲟⲡ
ϣⲗⲟⲡⲗⲡ	N	ϣⲗⲟⲡⲗⲡ
ϣⲗⲟⲩⲗⲁⲓ	N	ϣⲗⲟⲩⲗⲁⲓ
ϣⲗⲟⲩⲗⲁⲓ	V	ⲉϣⲗⲟⲩⲗⲁⲓ
ϣⲗⲧⲙ	N	ϣⲗⲧⲙ
ϣⲙϣⲉ	V	ϣⲙϣⲉ
ϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ	V	ϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ
ϣⲙϣⲏϭⲉ	V	ϣⲙϣⲏϭⲉ
ϣⲙϣⲓⲧ	N	ϣⲙϣⲓⲧ
ϣⲙⲁ	V	ϣⲙⲁ
ϣⲙⲙⲟ	N	ϣⲙⲙⲟ
ϣⲙⲙⲱ	N	ϣⲙⲙⲱ
ϣⲙⲛⲟⲩϥⲉ	N	ϣⲙⲛⲟⲩϥⲉ
ϣⲙⲛⲟⲩⲃⲉ	N	ϣⲙⲛⲟⲩⲃⲉ
ϣⲙⲛⲧϣⲉⲥⲉⲧⲏ	NUM	ϣⲙⲛⲧϣⲉⲥⲉⲧⲏ
ϣⲙⲟⲛ	N	ϣⲙⲟⲛ
ϣⲙⲟⲩ	N	ϣⲙⲟⲩ
ϣⲙⲟⲩⲗ	N	ϣⲙⲟⲩⲗ
ϣⲙⲟⲩⲛ	N	ϣⲙⲟⲩⲛ
ϣⲙⲟⲩⲛ	NUM	ϣⲙⲟⲩⲛ
ϣⲙⲟⲩⲛⲉ	NUM	ϣⲙⲟⲩⲛⲉ
ϣⲙⲟⲩⲛⲛϣⲟ	N	ϣⲙⲟⲩⲛⲛϣⲟ
ϣⲙⲧ	NUM	ϣⲙⲧ
ϣⲛ	V	ϣⲓⲛⲉ
ϣⲛϣⲱⲧⲉ	N	ϣⲛϣⲱⲧⲉ
ϣⲛϥⲉ	N	ϣⲉⲛϥⲉ
ϣⲛϩⲏⲧ	V	ϣⲛϩⲏⲧ
ϣⲛϫⲱϫ	N	ϣⲛϫⲱϫ
ϣⲛⲃⲛⲛⲉ	N	ϣⲛⲃⲛⲛⲉ
ϣⲛⲉ	N	ϣⲛⲉ
ϣⲛⲉⲓⲱⲧ	N	ϣⲛⲉⲓⲱⲧ
ϣⲛⲏⲩ	N	ϣⲛⲉ
ϣⲛⲟϣ	N	ϣⲛⲟϣ
ϣⲛⲟϣ	V	ϣⲛⲟϣ
ϣⲛⲟⲩⲁ	N	ϣⲉⲛⲟⲩⲁ
ϣⲛⲥ	N	ϣⲛⲥ
ϣⲛⲥⲟⲛ	N	ϣⲛⲥⲟⲛ
ϣⲛⲧ	V	ϣⲛⲧ
ϣⲛⲧⲁⲉⲥⲉ	N	ϣⲛⲧⲁⲉⲥⲉ
ϣⲛⲧⲱ	N	ϣⲛⲧⲱ
ϣⲟ	N	ϣⲟ
ϣⲟ	NUM	ϣⲟ
ϣⲟϣ	N	ϣⲟϣ
ϣⲟϣⲟⲩ	N	ϣⲟϣⲟⲩ
ϣⲟϣⲧ	N	ϣⲟϣⲧ
ϣⲟϥϣϥ	V	ϣⲟϥϣϥ
ϣⲟϥⲧ	N	ϣⲟϥⲧ
ϣⲟϥⲧⲥ	N	ϣⲟϥⲧⲥ
ϣⲟϫⲛⲉ	N	ϣⲟϫⲛⲉ
ϣⲟϫⲛⲉ	V	ϣⲟϫⲛⲉ
ϣⲟϫⲧ	N	ϣⲟϫⲧ
ϣⲟⲃⲉ	VSTAT	ϣⲓⲃⲉ
ϣⲟⲃⲧ	V	ϣⲟⲃⲧ
ϣⲟⲉⲓϣ	N	ϣⲟⲉⲓϣ
ϣⲟⲉⲓϫ	N	ϣⲟⲉⲓϫ
ϣⲟⲉⲓϫϥ	N	ϣⲟⲉⲓϫϥ
ϣⲟⲉⲓⲙ	N	ϣⲟⲉⲓⲙ
ϣⲟⲉⲓⲥ	N	ⲥⲟⲉⲓϣ
ϣⲟⲉⲓⲧ	N	ϣⲟⲉⲓⲧ
ϣⲟⲕϩ	V	ϣⲱⲕϩ
ϣⲟⲗϣⲗ	V	ϣⲟⲗϣⲗ
ϣⲟⲗϥ	V	ϣⲟⲗϥ
