.	PUNCT	.
ϣⲉⲃϣⲱⲡ	VSTAT	ϣⲟⲃϣⲉⲃ
ϣⲉⲃⲓ	V	ϣⲉⲃⲓ
ϣⲉⲃⲟⲓϣ	N	ϣⲉⲃⲟⲓϣ
ϣⲉⲃⲧ	V	ϣⲱⲃⲧ
ϣⲉⲕ	V	ϣⲱⲕ
ϣⲉⲕϣⲱⲕ	VSTAT	ϣⲟⲕϣⲉⲕ
ϣⲉⲗ	N	ϣⲁⲗ
ϣⲉⲗ	V	ϣⲱⲗ
ϣⲉⲗϣⲉⲗ	V	ϣⲉⲗϣⲉⲗ
ϣⲉⲗϣⲏⲓⲗⲓ	N	ϣⲉⲗϣⲏⲓⲗⲓ
ϣⲉⲗϣⲏⲗⲓ	N	ϣⲉⲗϣⲏⲓⲗⲓ
ϣⲉⲗⲉⲙ	V	ϣⲉⲗⲉⲙ
ϣⲉⲗⲉⲙ	V	ϣⲱⲗⲉⲙ
ϣⲉⲗⲉⲧ	N	ϣⲉⲗⲉⲧ
ϣⲉⲗⲧⲁⲙ	N	ϣⲁⲗⲧⲁⲙ
ϣⲉⲙ	V	ϣⲙⲁ
ϣⲉⲙϣⲉ	V	ϣⲉⲙϣⲓ
ϣⲉⲙϣⲏϫⲓ	V	ϣⲉⲙϣⲏϫⲓ
ϣⲉⲙϣⲏⲧ	V	ϣⲉⲙϣⲓ
ϣⲉⲙϣⲓ	V	ϣⲉⲙϣⲓ
ϣⲉⲙⲏⲣ	N	ϣⲉⲙⲏⲣ
ϣⲉⲙⲙⲟ	N	ϣⲉⲙⲙⲟ
ϣⲉⲙⲙⲱⲟⲩ	N	ϣⲉⲙⲙⲟ
ϣⲉⲛ	V	ϣⲓⲛⲓ
ϣⲉⲛϥⲓ	N	ϣⲉⲛϥⲓ
ϣⲉⲛϩⲏⲧ	V	ϣⲉⲛϩⲏⲧ
ϣⲉⲛⲉϣ	V	ϣⲁⲛϣ
ϣⲉⲛⲥ	N	ϣⲉⲛⲥ
ϣⲉⲛⲧ	V	ϣⲱⲛⲧ
ϣⲉⲛⲧⲏⲥ	N	ϣⲉⲛⲧⲏⲥ
ϣⲉⲛⲧⲱ	N	ϣⲉⲛⲧⲱ
ϣⲉⲛⲧⲱⲗⲓ	N	ϣⲉⲛⲧⲱⲗⲓ
ϣⲉⲡ	V	ϣⲱⲡ
ϣⲉⲡ	VSTAT	ϣⲱⲡ
ϣⲉⲡϣⲱⲃ	VSTAT	ϣⲟⲃϣⲉⲃ
ϣⲉⲡϣⲱⲡ	VSTAT	ϣⲟⲃϣⲉⲃ
ϣⲉⲣ	V	ϣⲱⲣ
ϣⲉⲣϣⲓ	N	ϣⲉⲣϣⲓ
ϣⲉⲣϣⲱⲣ	V	ϣⲟⲣϣⲉⲣ
ϣⲉⲣⲓ	N	ϣⲏⲣⲓ
ϣⲉⲣⲡ	V	ϣⲱⲣⲡ
ϣⲉⲧ	V	ϣⲓϯ
ϣⲉⲧϣⲱⲧ	V	ϣⲟⲧϣⲉⲧ
ϣⲉⲧϣⲱⲧ	VSTAT	ϣⲟⲧϣⲉⲧ
ϣⲉⲩⲛⲓ	N	ϣⲉⲩⲛⲓ
ϣⲏϣ	VSTAT	ϣⲱϣ
ϣⲏϥ	VSTAT	ϣⲱϥ
ϣⲏϥⲓ	V	ϣⲏϥⲓ
ϣⲏⲃ	VSTAT	ϣⲱⲡ
ϣⲏⲓ	N	ϣⲏⲓ
ϣⲏⲓϥⲓ	N	ϣⲉⲛϥⲓ
ϣⲏⲓⲃⲓ	N	ϣⲏⲓⲃⲓ
ϣⲏⲓⲃⲓ	N	ϣⲏⲟⲩⲓ
ϣⲏⲕ	VSTAT	ϣⲱⲕ
ϣⲏⲗ	VSTAT	ϣⲱⲗ
ϣⲏⲙ	N	ϣⲏⲙ
ϣⲏⲟⲩ	N	ϣϣⲏⲟⲩ
ϣⲏⲟⲩ	VSTAT	ϣⲓ
ϣⲏⲟⲩ	VSTAT	ϣⲓⲁⲓ
ϣⲏⲟⲩⲓ	N	ϣⲏⲟⲩⲓ
ϣⲏⲡ	VSTAT	ϣⲱⲡ
ϣⲏⲣⲓ	N	ϣⲏⲣⲓ
ϣⲑⲁϯ	N	ϣⲧⲁϯ
ϣⲑⲉ	N	ϣⲧⲉ
ϣⲑⲉϩ	N	ϣⲑⲉϩ
ϣⲑⲉϩ	N	ϣⲧⲉ
ϣⲑⲉⲣⲧⲉⲣ	V	ϣⲑⲟⲣⲧⲉⲣ
ϣⲑⲏⲛ	N	ϣⲑⲏⲛ
ϣⲑⲟⲣⲧⲉⲣ	V	ϣⲑⲟⲣⲧⲉⲣ
ϣⲑⲟⲩⲓⲧ	V	ϣⲑⲟⲩⲓⲧ
ϣⲑⲱⲧ	N	ϣⲑⲱⲧ
ϣⲓ	N	ϣⲓ
ϣⲓ	V	ϣⲓ
ϣⲓϣⲉⲙ	N	ϣⲓϣⲉⲙ
ϣⲓϯ	V	ϣⲓϯ
ϣⲓⲁⲓ	V	ϣⲓⲁⲓ
ϣⲓⲃϯ	V	ϣⲓⲃϯ
ϣⲓⲏ	N	ϣⲓⲏ
ϣⲓⲏ	V	ϣⲓⲏ
ϣⲓⲕⲓ	V	ϣⲓⲕⲓ
ϣⲓⲛⲓ	V	ϣⲓⲛⲓ
ϣⲓⲡⲓ	V	ϣⲓⲡⲓ
ϣⲓⲧ	V	ϣⲓ
ϣⲓⲧⲥ	N	ϣⲓⲧⲥ
ϣⲓⲱ	N	ϣⲓⲱ
ϣⲕⲁⲕ	N	ϣⲕⲁⲕ
ϣⲕⲁⲡ	V	ϣⲕⲁⲡ
ϣⲕⲱϯ	N	ϣⲕⲱϯ
ϣⲗⲁϩ	V	ϣⲗⲁϩ
ϣⲗⲁⲙ	V	ϭⲗⲁⲙ
ϣⲗⲉⲙⲗⲉⲙ	V	ϣⲗⲉⲙⲗⲉⲙ
ϣⲗⲉⲙⲗⲟⲙ	V	ϣⲗⲉⲙⲗⲉⲙ
ϣⲗⲏⲓⲙⲓ	N	ϣⲗⲏⲓⲙⲓ
ϣⲗⲏⲗ	V	ϣⲗⲏⲗ
ϣⲗⲟϥ	N	ϣⲗⲟϥ
ϣⲗⲟⲗ	N	ϣⲗⲟⲗ
ϣⲗⲱϫ	N	ϭⲗⲟϫ
ϣⲗⲱⲗ	N	ϣⲗⲟⲗ
ϣⲗⲱⲟⲩϣ	N	ϭⲗⲱⲟⲩϣ
ϣⲗⲱⲧ	N	ϭⲗⲱⲧ
ϣⲙⲁ	V	ϣⲙⲁ
ϣⲙⲉ	N	ϣⲙⲟⲩ
ϣⲙⲟⲩ	N	ϣⲙⲟⲩ
ϣⲙⲟⲩⲓ	N	ϣⲙⲟⲩ
ϣⲙⲱⲟⲩ	N	ϣⲟⲙ
ϣⲛ	N	ϣⲏⲣⲓ
ϣⲛⲁⲩ	N	ϣⲛⲁⲩ
ϣⲛⲉ	N	ϣⲛⲉ
ϣⲛⲏ	N	ϣⲛⲉ
ϣⲛⲏ	N	ϣⲛⲏ
ϣⲛⲏⲟⲩ	N	ϣⲛⲉ
ϣⲛⲏⲟⲩ	N	ϣⲛⲏⲟⲩ
ϣⲛⲟϥ	N	ϭⲛⲟϥ
ϣⲛⲟⲩϥ	N	ϣⲛⲟⲩϥ
ϣⲛⲟⲩϥ	N	ϭⲛⲟϥ
ϣⲟ	NUM	ϣⲟ
ϣⲟϣ	N	ϣⲟϣ
ϣⲟϣ	V	ϣⲱϣ
ϣⲟϣⲟⲩ	N	ϣⲟϣ
ϣⲟϣⲟⲩ	N	ϣⲟϣⲟⲩ
ϣⲟϣⲡⲓ	N	ϣⲟϣⲡⲓ
ϣⲟϣⲧ	N	ϣⲟϣⲧ
ϣⲟϣⲧ	VSTAT	ⲥⲱϣⲧ
ϣⲟϥ	V	ϣⲱϥ
ϣⲟϥⲧ	VSTAT	ϣⲱϥⲧ
ϣⲟϫⲡ	VSTAT	ⲥⲱϫⲡ
ϣⲟϯ	N	ϣϣⲟⲧ
ϣⲟϯ	N	ϣⲱⲧ
ϣⲟⲃ	V	ϣⲱⲡ
ϣⲟⲃϣⲉⲃ	V	ϣⲟⲃϣⲉⲃ
ϣⲟⲃϣⲉⲡ	V	ϣⲟⲃϣⲉⲃ
ϣⲟⲃⲧ	V	ϣⲱⲃⲧ
ϣⲟⲑⲣⲉϥ	N	ϣⲟⲧⲣⲉϥ
ϣⲟⲓϣ	V	ϣⲟⲓϣ
ϣⲟⲕ	V	ϣⲱⲕ
ϣⲟⲕϣⲉⲕ	V	ϣⲟⲕϣⲉⲕ
ϣⲟⲕϩ	V	ϣⲱⲕϩ
ϣⲟⲕⲓ	V	ϣⲱⲕ
ϣⲟⲗ	N	ϣⲟⲗ
ϣⲟⲗ	V	ϣⲱⲗ
ϣⲟⲗϩ	V	ϣⲱⲗϩ
ϣⲟⲗϩ	VSTAT	ϣⲗⲁϩ
ϣⲟⲗϩ	VSTAT	ϣⲱⲗϩ
ϣⲟⲗϩⲥ	N	ϣⲟⲗϩⲥ
ϣⲟⲗⲃⲓ	N	ϭⲟⲗⲃⲓ
ϣⲟⲗⲕ	V	ϣⲱⲗⲕ
ϣⲟⲗⲙⲉⲥ	N	ϣⲟⲗⲙⲉⲥ
ϣⲟⲙ	N	ϣⲟⲙ
ϣⲟⲙ	VSTAT	ϣⲙⲁ
ϣⲟⲛϩ	V	ϣⲟⲛϩ
ϣⲟⲛϯ	N	ϣⲟⲛϯ
ϣⲟⲛⲧ	V	ϣⲱⲛⲧ
ϣⲟⲛⲧ	VSTAT	ϣⲱⲛⲧ
ϣⲟⲡ	N	ϣⲟⲡ
ϣⲟⲡ	N	ϣⲱⲡⲓ
ϣⲟⲡ	N	ϭⲟⲡ
ϣⲟⲡ	V	ϣⲱⲡ
ϣⲟⲡ	VSTAT	ϣⲱⲡⲓ
ϣⲟⲡϣⲉⲃ	V	ϣⲟⲃϣⲉⲃ
ϣⲟⲡϣⲉⲡ	V	ϣⲟⲃϣⲉⲃ
ϣⲟⲡⲧ	V	ϣⲱⲃⲧ
ϣⲟⲣ	V	ϣⲱⲣ
ϣⲟⲣϣⲉⲣ	V	ϣⲟⲣϣⲉⲣ
ϣⲟⲣⲡ	N	ϣⲟⲣⲡ
ϣⲟⲣⲡ	V	ϣⲱⲣⲡ
ϣⲟⲣⲧ	VSTAT	ϣⲱⲣⲧ
ϣⲟⲣⲧϥ	N	ϣⲟⲧⲣⲉϥ
ϣⲟⲧ	VSTAT	ϣⲱⲧ
ϣⲟⲧϣⲉⲧ	V	ϣⲟⲧϣⲉⲧ
ϣⲟⲧϣⲉⲧ	V	ϭⲟⲧϭⲉⲧ
ϣⲟⲧⲉⲙ	VSTAT	ϣⲱⲧⲉⲙ
ϣⲟⲧⲣⲉϥ	N	ϣⲟⲧⲣⲉϥ
ϣⲟⲩ	N	ϣⲁⲩ
ϣⲟⲩ	N	ϣⲏⲣⲓ
ϣⲟⲩ	V	ϣⲟⲩⲟ
ϣⲟⲩϣⲏⲧ	N	ϣⲟⲩϣⲏⲧ
ϣⲟⲩϣⲓⲧⲥ	N	ϣⲟⲩϣⲓⲧⲥ
ϣⲟⲩϣⲟⲩ	V	ϣⲟⲩϣⲟⲩ
ϣⲟⲩϣⲧ	N	ϣⲟⲩϣⲧ
ϣⲟⲩϣⲧ	V	ϫⲟⲩϣⲧ
ϣⲟⲩϣⲱⲟⲩϣⲓ	N	ϣⲟⲩϣⲱⲟⲩϣⲓ
ϣⲟⲩϫ	N	ϫⲟⲩϫ
ϣⲟⲩⲉ	V	ϣⲟⲩⲟ
ϣⲟⲩⲛⲓⲥ	N	ϣⲟⲩⲛⲓⲥ
ϣⲟⲩⲟ	V	ϣⲟⲩⲟ
ϣⲟⲩⲣⲏ	N	ϣⲟⲩⲣⲏ
ϣⲟⲩⲱ	V	ϣⲟⲩⲟ
ϣⲟⲩⲱⲟⲩ	VSTAT	ϣⲱⲟⲩⲓ
ϣⲡ	V	ϣⲱⲡ
ϣⲣⲟ	N	ϣⲣⲱ
ϣⲣⲱ	N	ϣⲣⲱ
ϣⲧ	V	ϣⲱⲧ
ϣⲧⲁϯ	N	ϣⲧⲁϯ
ϣⲧⲉ	N	ϣⲧⲉ
ϣⲧⲉ	V	ϣⲧⲟ
ϣⲧⲉⲕⲟ	N	ϣⲧⲉⲕⲟ
ϣⲧⲉⲕⲱⲟⲩ	N	ϣⲧⲉⲕⲟ
ϣⲧⲉⲙ	NEG	ϣⲧⲉⲙ
ϣⲧⲉⲣⲑⲱⲣ	V	ϣⲑⲟⲣⲧⲉⲣ
ϣⲧⲉⲣⲑⲱⲣ	V	ϣⲧⲉⲣⲑⲱⲣ
ϣⲧⲉⲣⲑⲱⲣ	VSTAT	ϣⲑⲟⲣⲧⲉⲣ
ϣⲧⲏ	V	ϣⲧⲟ
ϣⲧⲏⲟⲩⲧ	VSTAT	ϣⲧⲟ
ϣⲧⲙ	V	ϣⲧⲙ
ϣⲧⲙⲟ	V	ⲧϣⲙⲟ
ϣⲧⲟ	V	ϣⲧⲟ
ϣⲫⲉⲣⲓ	N	ϣⲫⲏⲣ
ϣⲫⲏⲣ	N	ϣⲫⲏⲣ
ϣⲫⲏⲣⲓ	N	ϣⲫⲏⲣⲓ
ϣⲱ	N	ϣⲱ
ϣⲱϣ	N	ϣⲟϣ
ϣⲱϣ	V	ϣⲱϣ
ϣⲱϣⲉⲛ	N	ϣⲱϣⲉⲛ
ϣⲱϣⲧ	N	ϣⲟϣⲧ
ϣⲱϣⲧ	V	ⲥⲱϣⲧ
ϣⲱϥ	V	ϣⲱϥ
ϣⲱϥⲑ	N	ϣⲱϥⲑ
ϣⲱϥⲧ	V	ϣⲱϥⲧ
ϣⲱϩⲉⲃ	V	ϣⲱⲃϩ
ϣⲱϩⲡ	V	ϣⲱⲃϩ
ϣⲱϯ	N	ϣⲱϯ
ϣⲱϯ	V	ϣⲱⲧ
ϣⲱⲃϣ	N	ϣⲱⲡϣ
ϣⲱⲃϩ	V	ϣⲱⲃϩ
ϣⲱⲃⲧ	V	ϣⲱⲃⲧ
ϣⲱⲓ	N	ϣⲱⲓ
ϣⲱⲓϣ	N	ϣⲱⲓϣ
ϣⲱⲕ	V	ϣⲱⲕ
ϣⲱⲕϩ	V	ϣⲱⲕϩ
ϣⲱⲕⲓ	V	ϣⲱⲕ
ϣⲱⲕⲓ	V	ϣⲱⲕⲓ
ϣⲱⲗ	V	ϣⲱⲗ
ϣⲱⲗϩ	V	ϣⲱⲗϩ
ϣⲱⲗⲉⲙ	V	ϣⲱⲗⲉⲙ
ϣⲱⲗⲕ	V	ϣⲱⲗⲕ
ϣⲱⲗⲡⲓ	N	ϣⲱⲗⲡⲓ
ϣⲱⲙ	N	ϣⲟⲙ
ϣⲱⲙ	N	ϣⲱⲙ
ϣⲱⲙⲓ	N	ϣⲟⲙ
ϣⲱⲙⲓ	N	ϣⲱⲙⲓ
ϣⲱⲛⲓ	N	ϣⲱⲛⲓ
ϣⲱⲛⲓ	V	ϣⲱⲛⲓ
ϣⲱⲛⲧ	V	ϣⲱⲛⲧ
ϣⲱⲟⲩ	VSTAT	ϣⲱⲟⲩⲓ
ϣⲱⲟⲩϣⲓ	N	ϣⲟⲩϣⲱⲟⲩϣⲓ
ϣⲱⲟⲩⲓ	V	ϣⲱⲟⲩⲓ
ϣⲱⲡ	N	ϣⲟⲡ
ϣⲱⲡ	N	ϣⲱⲡ
ϣⲱⲡ	V	ϣⲱⲡ
ϣⲱⲡϣ	N	ϣⲱⲡϣ
ϣⲱⲡϩ	V	ϣⲱⲃϩ
ϣⲱⲡⲓ	N	ϣⲱⲡⲓ
ϣⲱⲡⲓ	V	ϣⲱⲡⲓ
ϣⲱⲡⲧ	V	ϣⲱⲃⲧ
ϣⲱⲣ	V	ϣⲱⲣ
ϣⲱⲣϣⲓ	N	ϣⲱⲣϣⲓ
ϣⲱⲣⲡ	V	ϣⲱⲣⲡ
ϣⲱⲣⲧ	V	ϣⲱⲣⲧ
ϣⲱⲧ	N	ϣⲱⲧ
ϣⲱⲧ	V	ϣⲓϯ
ϣⲱⲧ	V	ϣⲱⲧ
ϣⲱⲧⲉⲙ	V	ϣⲱⲧⲉⲙ
ϥ	CONJ	ⲛⲑⲟϥ
ϥ	PPERO	ⲛⲑⲟϥ
ϥ	PPERS	ⲛⲑⲟϥ
ϥ	PPOS	ⲛⲧⲟϥ
ϥⲁⲓ	N	ⲃⲁⲓ
ϥⲁⲓ	V	ϥⲁⲓ
ϥⲁⲓ	V	ϥⲓ
ϥⲉϫ	V	ϥⲱϫⲓ
ϥⲉϫϧⲉⲙⲥ	V	ϥⲉϫϧⲉⲙⲥ
ϥⲉⲛⲧ	N	ϥⲉⲛⲧ
ϥⲉⲛⲧ	N	ⲃⲟⲛϯ
ϥⲉⲣϥⲱⲣ	V	ϥⲟⲣϥⲉⲣ
ϥⲉⲧ	V	ϥⲱϯ
ϥⲏϫ	VSTAT	ϥⲱϫⲓ
ϥⲏϯ	VSTAT	ϥⲱϯ
ϥⲓ	V	ϥⲓ
ϥⲓⲕⲟϩⲓ	N	ϥⲓⲕⲟϩⲓ
ϥⲓⲧ	V	ϥⲓ
ϥⲟϫ	V	ϥⲱϫⲓ
ϥⲟϫⲓ	V	ϥⲱϫⲓ
ϥⲟϯ	V	ϥⲱϯ
ϥⲟⲓ	N	ϥⲟⲓ
ϥⲟⲕⲁⲥⲓ	N	ϥⲟⲩⲕⲁⲥⲓ
ϥⲟⲣϥⲉⲣ	V	ϥⲟⲣϥⲉⲣ
ϥⲟⲣⲓ	N	ϥⲟⲣⲓ
ϥⲟⲧ	V	ϥⲱϯ
ϥⲟⲧⲥ	VSTAT	ϥⲟⲧⲥ
ϥⲟⲩⲕⲁⲥⲓ	N	ϥⲟⲩⲕⲁⲥⲓ
ϥⲣⲉ	N	ϥⲣⲉ
ϥⲱϫⲓ	V	ϥⲱϫⲓ
ϥⲱϯ	N	ϥⲱϯ
ϥⲱϯ	V	ϥⲱϯ
ϥⲱϯⲁ	N	ϥⲱϯⲁ
ϥⲱⲉ	N	ϥⲱⲉ
ϥⲱⲓ	N	ϥⲟⲓ
ϥⲱⲓ	N	ϥⲱⲉ
ϥⲱⲓ	N	ϥⲱⲓ
ϥⲱⲥⲓ	N	ϥⲱⲥⲓ
ϧⲁ	PREP	ϧⲁ
ϧⲁϧ	V	ϧⲱϧ
ϧⲁϫⲱ	PREP	ϧⲁϫⲉⲛ
ϧⲁϯ	V	ϧⲁϯ
ϧⲁⲉ	N	ϧⲁⲉ
ϧⲁⲉⲩ	N	ϧⲁⲉ
ϧⲁⲏ	N	ϧⲁⲉ
ϧⲁⲑ	VSTAT	ϧⲑⲁⲓ
ϧⲁⲑⲉⲃ	V	ϧⲱⲧⲉⲃ
ϧⲁⲓ	N	ϧⲁⲓ
ϧⲁⲓⲉ	N	ϧⲁⲉ
ϧⲁⲓⲏ	N	ϧⲁⲉ
ϧⲁⲣⲁ	N	ϧⲣⲱⲟⲩ
ϧⲁⲣⲁϭⲱⲟⲩⲧⲥ	N	ⲥⲁⲣⲁϫⲱϥ
ϧⲁⲣⲁⲃⲁⲓ	N	ϧⲁⲣⲁⲃⲁⲓ
ϧⲁⲣⲁⲧ	PREP	ϧⲁⲣⲁⲧ
ϧⲁⲣⲟ	PREP	ϧⲁ
ϧⲁⲣⲱ	PREP	ϧⲁ
ϧⲁⲥ	V	ϧⲓⲥⲓ
ϧⲁⲧ	V	ϧⲓϯ
ϧⲁⲧϩⲏ	ADV	ϧⲁⲧϩⲏ
ϧⲁⲧⲉⲃ	V	ϧⲱⲧⲉⲃ
ϧⲁⲧⲟⲧ	PREP	ϧⲁⲧⲉⲛ
ϧⲁⲧⲟⲧⲉ	PREP	ϧⲁⲧⲉⲛ
ϧⲉ	N	ϧⲉ
ϧⲉⲕ	V	ϧⲱⲕ
ϧⲉⲕ	V	ϩⲱⲕⲓ
ϧⲉⲗϧⲉⲗⲧ	N	ϧⲉⲗϧⲉⲗⲧ
ϧⲉⲗϧⲟⲗ	V	ϧⲟⲗϧⲉⲗ
ϧⲉⲗϧⲱⲗ	V	ϧⲟⲗϧⲉⲗ
ϧⲉⲗϧⲱⲗ	VSTAT	ϧⲟⲗϧⲉⲗ
ϧⲉⲗⲃⲓ	N	ϧⲉⲗⲡⲓ
ϧⲉⲗⲉⲃϣ	N	ϧⲉⲗⲓⲃϣ
ϧⲉⲗⲓⲃϣ	N	ϧⲉⲗⲓⲃϣ
ϧⲉⲗⲗⲟ	N	ϧⲉⲗⲗⲟ
ϧⲉⲗⲗⲟⲓ	N	ϧⲉⲗⲗⲟ
ϧⲉⲗⲗⲱ	N	ϧⲉⲗⲗⲟ
ϧⲉⲗⲙⲉϩⲓ	N	ϧⲉⲗⲙⲉϩⲓ
ϧⲉⲗⲡⲓ	N	ϧⲉⲗⲡⲓ
ϧⲉⲙϧⲱⲙ	V	ϧⲟⲙϧⲉⲙ
ϧⲉⲙϧⲱⲙ	VSTAT	ϧⲟⲙϧⲉⲙ
ϧⲉⲙⲥ	N	ϧⲉⲙⲥ
ϧⲉⲛ	PREP	ϧⲉⲛ
ϧⲉⲛⲧ	VSTAT	ϧⲱⲛⲧ
ϧⲉⲛⲧ	VSTAT	ϩⲱⲛⲧ
